pickup_datetime,dropoff_datetime,trip_distance,fare_amount,pickup_location_id,dropoff_location_id,vendor_id,duracion_minutos,velocidad_mph
2022-09-29 11:43:42+00:00,2022-09-29 12:08:40+00:00,2.56,16.5,75,162,2,24.966666666666665,6.152202937249666
2022-09-25 10:48:27+00:00,2022-09-25 11:04:10+00:00,4.74,16.5,75,244,2,15.716666666666669,18.095440084835637
2022-09-10 12:42:49+00:00,2022-09-10 13:05:20+00:00,3.64,16.5,7,237,2,22.516666666666666,9.699481865284977
2022-09-15 08:09:40+00:00,2022-09-15 08:29:43+00:00,4.67,16.5,28,19,2,20.05,13.975062344139651
2022-09-05 00:17:54+00:00,2022-09-05 00:37:43+00:00,4.14,16.5,93,7,2,19.816666666666663,12.534903280067285
2022-09-08 00:52:36+00:00,2022-09-08 01:02:59+00:00,5.3,16.5,93,179,2,10.383333333333333,30.626003210272877
2022-09-11 21:34:36+00:00,2022-09-11 21:54:08+00:00,3.93,16.5,166,244,2,19.53333333333333,12.071672354948804
2022-09-25 21:16:28+00:00,2022-09-25 21:36:41+00:00,3.74,16.5,66,225,2,20.216666666666665,11.099752679307503
2022-09-25 23:49:25+00:00,2022-09-26 00:11:36+00:00,3.55,16.5,129,198,2,22.183333333333334,9.601803155522164
2022-09-08 19:21:41+00:00,2022-09-08 19:43:33+00:00,3.73,16.5,75,116,2,21.866666666666667,10.234756097560975
2022-09-15 17:39:26+00:00,2022-09-15 18:03:41+00:00,3.71,16.5,74,167,2,24.25,9.179381443298968
2022-09-16 15:45:03+00:00,2022-09-16 16:09:13+00:00,3.51,16.5,95,216,2,24.166666666666668,8.714482758620688
2022-09-19 08:10:01+00:00,2022-09-19 08:22:43+00:00,5.1,16.5,95,138,2,12.7,24.094488188976374
2022-09-19 17:26:05+00:00,2022-09-19 17:51:45+00:00,2.13,16.5,97,181,2,25.666666666666668,4.979220779220778
2022-09-23 12:51:10+00:00,2022-09-23 13:11:13+00:00,4.23,16.5,95,216,2,20.05,12.658354114713218
2022-09-27 14:01:47+00:00,2022-09-27 14:16:08+00:00,4.81,16.5,196,226,2,14.35,20.11149825783972
2022-09-29 23:01:42+00:00,2022-09-29 23:14:20+00:00,5.0,16.5,74,127,1,12.633333333333333,23.7467018469657
2022-09-30 18:21:15+00:00,2022-09-30 18:46:27+00:00,2.9,16.5,97,61,1,25.2,6.904761904761905
2022-09-30 19:12:43+00:00,2022-09-30 19:34:41+00:00,4.13,16.5,65,227,2,21.966666666666665,11.280728376327769
2022-09-02 03:00:04+00:00,2022-09-02 03:21:58+00:00,3.67,16.5,226,129,2,21.9,10.054794520547944
2022-09-03 00:57:14+00:00,2022-09-03 01:15:47+00:00,4.16,16.5,66,17,2,18.55,13.455525606469
2022-09-03 20:24:02+00:00,2022-09-03 20:45:57+00:00,3.87,16.5,78,241,2,21.916666666666668,10.59467680608365
2022-09-03 22:03:31+00:00,2022-09-03 22:22:45+00:00,3.85,16.5,82,146,2,19.23333333333333,12.010398613518197
2022-09-04 22:48:44+00:00,2022-09-04 23:10:57+00:00,3.69,16.5,66,61,2,22.216666666666665,9.96549137284321
2022-09-06 20:42:10+00:00,2022-09-06 20:50:42+00:00,5.57,16.5,131,93,2,8.533333333333333,39.1640625
2022-09-09 02:17:15+00:00,2022-09-09 02:35:36+00:00,4.8,16.5,25,35,2,18.35,15.694822888283378
2022-09-09 20:32:39+00:00,2022-09-09 20:51:16+00:00,4.36,16.5,134,216,2,18.616666666666667,14.051924798567594
2022-09-10 02:27:59+00:00,2022-09-10 02:53:38+00:00,2.18,16.5,83,173,2,25.65,5.099415204678363
2022-09-10 20:17:55+00:00,2022-09-10 20:37:55+00:00,4.02,16.5,82,258,2,20.0,12.06
2022-09-11 00:29:13+00:00,2022-09-11 00:48:12+00:00,4.34,16.5,82,258,2,18.98333333333333,13.71729587357331
2022-09-12 23:12:08+00:00,2022-09-12 23:28:23+00:00,4.57,16.5,226,223,2,16.25,16.873846153846156
2022-09-13 00:16:18+00:00,2022-09-13 00:36:40+00:00,3.91,16.5,145,83,2,20.366666666666667,11.518821603927988
2022-09-13 21:28:45+00:00,2022-09-13 21:42:40+00:00,5.01,16.5,82,179,2,13.916666666666666,21.6
2022-09-14 05:22:10+00:00,2022-09-14 05:39:03+00:00,4.23,16.5,83,160,2,16.883333333333333,15.032576505429422
2022-09-14 20:58:04+00:00,2022-09-14 21:20:32+00:00,3.8,16.5,41,167,1,22.466666666666665,10.148367952522255
2022-09-15 04:36:03+00:00,2022-09-15 04:49:45+00:00,4.81,16.5,95,138,2,13.7,21.06569343065693
2022-09-16 19:59:31+00:00,2022-09-16 20:18:24+00:00,4.13,16.5,95,216,2,18.883333333333333,13.122683142100616
2022-09-17 03:17:36+00:00,2022-09-17 03:39:21+00:00,3.7,16.5,129,82,2,21.75,10.20689655172414
2022-09-17 22:17:08+00:00,2022-09-17 22:39:27+00:00,3.78,16.5,255,33,2,22.316666666666663,10.162808065720686
2022-09-18 01:45:11+00:00,2022-09-18 02:05:24+00:00,3.9,16.5,181,72,1,20.216666666666665,11.574608408903543
2022-09-18 03:02:04+00:00,2022-09-18 03:16:25+00:00,5.04,16.5,95,82,2,14.35,21.07317073170732
2022-09-21 20:39:14+00:00,2022-09-21 20:59:25+00:00,4.3,16.5,181,35,2,20.183333333333334,12.78282411230388
2022-09-21 20:58:01+00:00,2022-09-21 21:09:58+00:00,5.2,16.5,247,220,2,11.95,26.108786610878663
2022-09-22 21:12:36+00:00,2022-09-22 21:25:51+00:00,5.18,16.5,75,235,2,13.25,23.456603773584902
2022-09-25 05:51:42+00:00,2022-09-25 06:03:38+00:00,5.32,16.5,130,132,2,11.933333333333334,26.748603351955307
2022-09-27 20:25:01+00:00,2022-09-27 20:46:54+00:00,3.85,16.5,65,188,2,21.883333333333333,10.555978674790556
2022-09-29 23:26:11+00:00,2022-09-29 23:45:30+00:00,4.16,16.5,66,17,2,19.316666666666663,12.921484037963763
2022-09-30 21:22:49+00:00,2022-09-30 21:41:05+00:00,4.38,16.5,116,235,2,18.266666666666666,14.386861313868614
2022-09-19 08:06:11+00:00,2022-09-19 08:29:33+00:00,3.69,16.5,116,116,2,23.366666666666667,9.475035663338089
2022-09-02 11:46:14+00:00,2022-09-02 12:02:22+00:00,4.3,16.5,97,80,2,16.133333333333333,15.99173553719008
2022-09-02 14:24:33+00:00,2022-09-02 14:38:26+00:00,5.02,16.5,95,138,2,13.883333333333333,21.69507803121248
2022-09-03 12:09:07+00:00,2022-09-03 12:30:03+00:00,3.77,16.5,41,119,2,20.933333333333334,10.805732484076431
2022-09-03 17:22:31+00:00,2022-09-03 17:39:42+00:00,4.25,16.5,65,112,2,17.183333333333334,14.83996120271581
2022-09-03 17:28:29+00:00,2022-09-03 17:44:09+00:00,4.86,16.5,33,256,2,15.666666666666666,18.612765957446808
2022-09-04 17:56:15+00:00,2022-09-04 18:14:40+00:00,4.21,16.5,65,80,2,18.416666666666668,13.715837104072396
2022-09-04 19:47:09+00:00,2022-09-04 20:05:39+00:00,4.48,16.5,196,73,2,18.5,14.52972972972973
2022-09-06 13:59:58+00:00,2022-09-06 14:17:06+00:00,4.4,16.5,95,92,2,17.133333333333333,15.408560311284049
2022-09-07 10:19:12+00:00,2022-09-07 10:40:14+00:00,3.9,16.5,130,139,2,21.03333333333333,11.125198098256735
2022-09-07 10:18:08+00:00,2022-09-07 10:34:30+00:00,4.5,16.5,74,244,2,16.366666666666667,16.4969450101833
2022-09-08 13:30:49+00:00,2022-09-08 13:52:20+00:00,3.62,16.5,166,167,2,21.516666666666666,10.09450038729667
2022-09-09 11:44:25+00:00,2022-09-09 12:08:38+00:00,3.05,16.5,244,47,2,24.216666666666665,7.55677907777013
2022-09-11 15:33:35+00:00,2022-09-11 15:54:51+00:00,3.37,16.5,25,89,2,21.266666666666666,9.507836990595612
2022-09-12 07:31:58+00:00,2022-09-12 07:51:32+00:00,3.89,16.5,226,196,2,19.566666666666663,11.928449744463371
2022-09-13 09:55:51+00:00,2022-09-13 10:18:08+00:00,3.43,16.5,97,256,2,22.28333333333333,9.235602094240836
2022-09-14 12:39:32+00:00,2022-09-14 13:01:38+00:00,3.47,16.5,74,244,2,22.1,9.42081447963801
2022-09-14 14:56:40+00:00,2022-09-14 15:12:53+00:00,4.99,16.5,134,216,2,16.216666666666665,18.46248715313464
2022-09-14 15:29:19+00:00,2022-09-14 15:51:01+00:00,3.7,16.5,223,145,2,21.7,10.23041474654378
2022-09-15 15:23:38+00:00,2022-09-15 15:48:03+00:00,3.16,16.5,82,160,2,24.416666666666668,7.76518771331058
2022-09-16 12:08:43+00:00,2022-09-16 12:32:11+00:00,3.1,16.5,41,159,2,23.466666666666665,7.926136363636364
2022-09-18 14:35:41+00:00,2022-09-18 14:55:13+00:00,4.3,16.5,74,243,2,19.53333333333333,13.20819112627986
2022-09-18 17:54:13+00:00,2022-09-18 18:19:17+00:00,2.48,16.5,74,151,2,25.066666666666663,5.9361702127659575
2022-09-20 07:29:41+00:00,2022-09-20 07:46:27+00:00,3.9,16.5,74,243,2,16.766666666666666,13.956262425447315
2022-09-20 14:49:07+00:00,2022-09-20 15:03:49+00:00,5.05,16.5,95,138,2,14.7,20.612244897959183
2022-09-21 07:20:34+00:00,2022-09-21 07:37:26+00:00,3.94,16.5,74,243,2,16.866666666666667,14.01581027667984
2022-09-22 15:32:20+00:00,2022-09-22 15:51:50+00:00,4.1,16.5,260,138,2,19.5,12.615384615384611
2022-09-23 07:48:23+00:00,2022-09-23 08:11:39+00:00,3.39,16.5,74,244,2,23.266666666666666,8.742120343839542
