pickup_datetime,dropoff_datetime,trip_distance,fare_amount,pickup_location_id,dropoff_location_id,vendor_id
2022-09-12 06:37:00.000000 UTC,2022-09-12 06:42:00.000000 UTC,1.61,9.9,74,43,2
2022-09-12 16:08:00.000000 UTC,2022-09-12 16:12:00.000000 UTC,0.63,9.9,244,116,2
2022-09-12 16:41:00.000000 UTC,2022-09-12 16:49:00.000000 UTC,1.33,9.9,106,228,2
2022-09-12 16:41:00.000000 UTC,2022-09-12 16:49:00.000000 UTC,1.05,9.9,33,25,2
2022-09-13 11:46:00.000000 UTC,2022-09-13 11:57:00.000000 UTC,1.06,9.9,42,74,2
2022-09-13 15:30:00.000000 UTC,2022-09-13 15:36:00.000000 UTC,0.97,9.9,166,24,2
2022-09-13 20:38:00.000000 UTC,2022-09-13 20:45:00.000000 UTC,1.13,9.9,255,256,2
2022-09-13 22:01:00.000000 UTC,2022-09-13 22:04:00.000000 UTC,1.08,9.9,74,75,2
2022-09-14 04:20:00.000000 UTC,2022-09-14 04:28:00.000000 UTC,1.5,9.9,243,244,2
2022-09-14 10:41:00.000000 UTC,2022-09-14 10:47:00.000000 UTC,31540.98,9.9,83,82,2
2022-09-14 11:15:00.000000 UTC,2022-09-14 11:24:00.000000 UTC,1.33,9.9,41,74,2
2022-09-14 19:28:00.000000 UTC,2022-09-14 19:33:00.000000 UTC,0.89,9.9,193,7,2
2022-09-15 01:36:00.000000 UTC,2022-09-15 01:41:00.000000 UTC,0.04,9.9,42,74,2
2022-09-15 06:10:00.000000 UTC,2022-09-15 06:15:00.000000 UTC,0.66,9.9,223,7,2
2022-09-15 11:21:00.000000 UTC,2022-09-15 11:29:00.000000 UTC,1.15,9.9,7,146,2
2022-09-15 11:44:00.000000 UTC,2022-09-15 11:52:00.000000 UTC,1.07,9.9,41,166,2
2022-09-15 12:57:00.000000 UTC,2022-09-15 13:04:00.000000 UTC,1.41,9.9,205,10,2
2022-09-15 12:56:00.000000 UTC,2022-09-15 13:05:00.000000 UTC,1.67,9.9,196,95,2
2022-09-15 13:14:00.000000 UTC,2022-09-15 13:19:00.000000 UTC,1.51,9.9,10,10,2
2022-09-15 13:35:00.000000 UTC,2022-09-15 13:47:00.000000 UTC,0.94,9.9,181,181,2
2022-09-15 15:45:00.000000 UTC,2022-09-15 15:54:00.000000 UTC,0.75,9.9,33,65,2
2022-09-15 19:42:00.000000 UTC,2022-09-15 19:46:00.000000 UTC,0.78,9.9,166,152,2
2022-09-15 19:58:00.000000 UTC,2022-09-15 20:04:00.000000 UTC,0.82,9.9,116,244,2
2022-09-15 20:40:00.000000 UTC,2022-09-15 20:48:00.000000 UTC,1.15,9.9,40,33,2
2022-09-15 20:42:00.000000 UTC,2022-09-15 20:49:00.000000 UTC,0.51,9.9,166,41,2
2022-09-16 06:39:00.000000 UTC,2022-09-16 06:46:00.000000 UTC,1.78,9.9,75,166,2
2022-09-16 06:16:00.000000 UTC,2022-09-16 06:20:00.000000 UTC,0.88,9.9,188,72,2
2022-09-16 10:48:00.000000 UTC,2022-09-16 10:57:00.000000 UTC,1.18,9.9,166,166,2
2022-09-16 10:51:00.000000 UTC,2022-09-16 11:02:00.000000 UTC,1.6,9.9,42,166,2
2022-09-16 10:07:00.000000 UTC,2022-09-16 10:19:00.000000 UTC,1.14,9.9,181,106,2
2022-09-16 11:51:00.000000 UTC,2022-09-16 11:56:00.000000 UTC,0.78,9.9,75,74,2
2022-09-16 11:55:00.000000 UTC,2022-09-16 11:59:00.000000 UTC,0.76,9.9,41,41,2
2022-09-16 12:20:00.000000 UTC,2022-09-16 12:29:00.000000 UTC,1.32,9.9,42,166,2
2022-09-16 13:59:00.000000 UTC,2022-09-16 14:10:00.000000 UTC,1.1,9.9,159,159,2
2022-09-16 20:16:00.000000 UTC,2022-09-16 20:21:00.000000 UTC,1.03,9.9,42,116,2
2022-09-16 20:26:00.000000 UTC,2022-09-16 20:33:00.000000 UTC,0.74,9.9,74,74,2
2022-09-16 21:50:00.000000 UTC,2022-09-16 22:00:00.000000 UTC,2.25,9.9,127,244,2
2022-09-16 21:30:00.000000 UTC,2022-09-16 21:36:00.000000 UTC,1.17,9.9,41,116,2
2022-09-17 11:49:00.000000 UTC,2022-09-17 11:57:00.000000 UTC,10.4,9.9,76,222,2
2022-09-17 22:06:00.000000 UTC,2022-09-17 22:11:00.000000 UTC,0.55,9.9,129,82,2
2022-09-18 08:48:00.000000 UTC,2022-09-18 08:53:00.000000 UTC,1.04,9.9,52,65,2
2022-09-18 09:51:00.000000 UTC,2022-09-18 09:57:00.000000 UTC,1.23,9.9,181,40,2
2022-09-18 10:49:00.000000 UTC,2022-09-18 10:59:00.000000 UTC,1.68,9.9,25,40,2
2022-09-18 19:12:00.000000 UTC,2022-09-18 19:18:00.000000 UTC,0.87,9.9,112,255,2
2022-09-18 19:53:00.000000 UTC,2022-09-18 19:59:00.000000 UTC,1.37,9.9,42,41,2
2022-09-18 20:53:00.000000 UTC,2022-09-18 21:02:00.000000 UTC,1.19,9.9,116,116,2
2022-09-18 20:32:00.000000 UTC,2022-09-18 20:37:00.000000 UTC,0.62,9.9,66,66,2
2022-09-18 21:12:00.000000 UTC,2022-09-18 21:23:00.000000 UTC,1.55,9.9,260,7,2
2022-09-19 03:36:00.000000 UTC,2022-09-19 03:43:00.000000 UTC,1.3,9.9,74,152,2
2022-09-19 15:41:00.000000 UTC,2022-09-19 15:48:00.000000 UTC,0.96,9.9,243,243,2
2022-09-19 16:56:00.000000 UTC,2022-09-19 17:01:00.000000 UTC,51910.75,9.9,129,70,2
2022-09-19 21:12:00.000000 UTC,2022-09-19 21:19:00.000000 UTC,1.04,9.9,65,33,2
2022-09-20 12:36:00.000000 UTC,2022-09-20 12:40:00.000000 UTC,0.47,9.9,41,41,2
2022-09-20 12:55:00.000000 UTC,2022-09-20 13:04:00.000000 UTC,0.55,9.9,65,33,2
2022-09-20 13:07:00.000000 UTC,2022-09-20 13:19:00.000000 UTC,1.89,9.9,7,223,2
2022-09-20 13:21:00.000000 UTC,2022-09-20 13:25:00.000000 UTC,1.17,9.9,166,24,2
2022-09-20 13:41:00.000000 UTC,2022-09-20 13:47:00.000000 UTC,0.79,9.9,75,75,2
2022-09-20 15:59:00.000000 UTC,2022-09-20 16:08:00.000000 UTC,2.36,9.9,52,106,2
2022-09-20 15:12:00.000000 UTC,2022-09-20 15:20:00.000000 UTC,1.13,9.9,41,42,2
2022-09-20 19:26:00.000000 UTC,2022-09-20 19:31:00.000000 UTC,1.07,9.9,166,152,2
2022-09-20 20:18:00.000000 UTC,2022-09-20 20:22:00.000000 UTC,0.73,9.9,166,151,2
2022-09-21 06:45:00.000000 UTC,2022-09-21 06:52:00.000000 UTC,1.32,9.9,7,129,2
2022-09-21 12:28:00.000000 UTC,2022-09-21 12:47:00.000000 UTC,1.04,9.9,25,25,2
2022-09-21 12:51:00.000000 UTC,2022-09-21 12:58:00.000000 UTC,1.09,9.9,116,244,2
2022-09-21 14:24:00.000000 UTC,2022-09-21 14:30:00.000000 UTC,0.91,9.9,152,166,2
2022-09-22 10:20:00.000000 UTC,2022-09-22 10:28:00.000000 UTC,1.28,9.9,166,42,2
2022-09-22 12:48:00.000000 UTC,2022-09-22 12:51:00.000000 UTC,0.54,9.9,193,193,2
2022-09-22 14:20:00.000000 UTC,2022-09-22 14:30:00.000000 UTC,1.17,9.9,7,7,2
2022-09-22 15:19:00.000000 UTC,2022-09-22 15:28:00.000000 UTC,1.18,9.9,7,223,2
2022-09-22 19:34:00.000000 UTC,2022-09-22 19:37:00.000000 UTC,0.99,9.9,166,152,2
2022-09-22 20:27:00.000000 UTC,2022-09-22 20:33:00.000000 UTC,0.98,9.9,112,112,2
2022-09-22 20:15:00.000000 UTC,2022-09-22 20:23:00.000000 UTC,91152.89,9.9,10,218,2
2022-09-23 00:16:00.000000 UTC,2022-09-23 00:26:00.000000 UTC,1.53,9.9,256,80,2
2022-09-23 08:46:00.000000 UTC,2022-09-23 08:53:00.000000 UTC,0.95,9.9,41,24,2
2022-09-23 09:57:00.000000 UTC,2022-09-23 10:04:00.000000 UTC,1,9.9,181,181,2
2022-09-23 10:12:00.000000 UTC,2022-09-23 10:21:00.000000 UTC,0.95,9.9,181,106,2
2022-09-23 11:38:00.000000 UTC,2022-09-23 11:44:00.000000 UTC,1.44,9.9,145,112,2
2022-09-23 11:17:00.000000 UTC,2022-09-23 11:25:00.000000 UTC,1.23,9.9,149,91,2
2022-09-23 13:12:00.000000 UTC,2022-09-23 13:16:00.000000 UTC,0.92,9.9,116,152,2
